horse,career_runs,win_strike_rate
A A Agility (NZ),15,0.0
A Americ Te Specso (NZ),46,0.1304347826086956
A Babord (FR),3,0.3333333333333333
A Ballata (JPN),1,0.0
A Bear Affair (IRE),1,1.0
A Beauregard (FR),4,0.0
A Beautiful (AUS),24,0.0833333333333333
A Beautiful Day (USA),0,0.0
A Beautiful Dream (IRE),5,0.0
A Besta (USA),1,0.0
A Better World (GB),3,0.0
A Big Cheer (JPN),3,0.0
A Bit Iffy (IRE),10,0.0
A Bit Of A Touch (IRE),2,0.0
A Bit Of Both (USA),1,0.0
A Bit Of Class (SAF),0,0.0
A Bit Of Ginger (GB),11,0.0
A Bit Of Spirit (IRE),5,0.6
A Bit Special (GB),3,1.0
A Bitter Affair (IRE),2,0.0
A Bold Move (IRE),10,0.0
A Bonnie Glow (AUS),0,0.0
A Book Of Intrigue (GB),9,0.2222222222222222
A Bourbon For Toby (USA),0,0.0
A Boy Named Ivy (IRE),18,0.1111111111111111
A Boy Named Mary (IRE),5,0.0
A Boy Named Sue (GB),14,0.0
A Boy Named Susie (IRE),5,0.2
A Boy Named Suzi (GB),14,0.0
A Boy The Kid (IRE),1,0.0
A Brandy For Bob (IRE),1,0.0
A Broken Breeze (CAN),0,0.0
A Bunch For Lunch (USA),1,0.0
A Call Too Soon (IRE),2,0.0
A Cannes (FR),1,0.0
A Cappella (GB),0,0.0
A Case Of You (IRE),19,0.3684210526315789
A Cassis (FR),1,0.0
A Celebration (ARG),1,0.0
A Chance To Be Me (GB),1,0.0
A Chara (GB),1,0.0
A Cheap Thrill (IRE),22,0.0
A Choeur Joie (FR),5,0.0
A Chuisle Mo Chroi (IRE),3,0.0
A Classy Lass (IRE),0,0.0
A Coeur Vaillant (FR),1,0.0
A Cool Case (GB),6,0.0
A Cor Et A Cri (FR),3,0.0
A Corps Perdu (FR),0,0.0
A Countach (GER),0,0.0
A Country Mile (GB),1,0.0
A Dance To Dawn (IRE),5,0.0
A Daughters Love (GB),5,0.0
A Daughtersdelight (IRE),17,0.0
A Day In Bloom (IRE),8,0.0
A Day In Deauville (IRE),1,0.0
A Day In Donostia (IRE),3,0.0
A Day In Paradise (USA),0,0.0
A Day In The Life (JPN),2,0.5
A Day Of Mischief (GB),3,0.0
A Day To Dream (IRE),24,0.0416666666666666
A Decent Excuse (IRE),29,0.0689655172413793
A Deel Of Humour (AUS),0,0.0
A Definite Diamond (GB),11,0.0
A Definite Getaway (IRE),21,0.1904761904761904
A Delight (FR),2,0.0
A Dieu Vat (FR),8,0.125
A Different Kind (IRE),26,0.3461538461538461
A Different Style (USA),0,0.0
A Different World (IRE),21,0.0476190476190476
A Distant Place (IRE),5,0.2
A Doll In Milan (IRE),1,0.0
A Dos No Bueno (GB),5,0.0
A Dream To Share (IRE),15,0.4
A Dublin Job (IRE),20,0.15
A Dublin Lad (GB),2,0.0
A E Housman (GB),4,0.25
A Falling Star (GB),5,0.0
A Family Affair (IRE),4,0.0
A Fari Spenti (IRE),3,0.0
A Fast Broad (USA),1,0.0
A Fast One (AUS),12,0.0833333333333333
A Few Bob (GB),1,0.0
A Few Bob Short (IRE),25,0.08
A Few Dollars More (IRE),27,0.074074074074074
A Few Good Men (GB),1,0.0
A Fighting Fury (AUS),1,0.0
A Fine Chardonnay (USA),0,0.0
A Fine Claret (IRE),9,0.1111111111111111
A Fine Romance (FR),6,0.0
A Fine Young Mare (IRE),8,0.0
A Fitting Finale (GB),3,0.0
A Fleet Attitude (USA),0,0.0
A Flicker Ofsilver (USA),1,0.0
A Fly Girl (FR),0,0.0
A Force Dy Croire (IRE),0,0.0
A Force To Reckin (IRE),0,0.0
A Fortune Out West (IRE),5,0.0
A Freud Of Mama (USA),0,0.0
A Friend To All (GB),3,0.0
A G Cohiba (USA),0,0.0
A G Indy (USA),2,0.5
A G Samurai (USA),2,0.0
A Game (CAN),1,1.0
A Gata (FR),0,0.0
A Genie In Abottle (IRE),14,0.3571428571428571
A Gibraltar (FR),0,0.0
A Gift Of Love (GB),8,0.0
A Girl Like Me (IRE),18,0.0555555555555555
A Girl Named Ivy (IRE),15,0.1333333333333333
A Go Go (GB),25,0.2
A Good Horse (NZ),0,0.0
A Good Skin (IRE),20,0.1
A Good Yarn (IRE),0,0.0
A Good Yomp (GB),13,0.0769230769230769
A Great Buzz (IRE),10,0.1
A Great Excuse (IRE),8,0.125
A Great Time (USA),1,0.0
A Great View (IRE),48,0.125
A Greater Force (FR),0,0.0
A Grey Matter (IRE),9,0.1111111111111111
A Guy Like Me (USA),1,0.0
A Hairy Koala (FR),7,0.0
A Hardy Nailer (IRE),10,0.1
A Hare Breath (IRE),15,0.2666666666666666
A Head Ahead (GER),31,0.1290322580645161
A Hundred Echoes (GB),5,0.0
A I Initiative (USA),2,0.0
A J Cook (IRE),42,0.0238095238095238
A J Hart (USA),1,1.0
A J Rock (USA),0,0.0
A Jet Of Our Own (IRE),8,0.125
A Keen Sense (GER),5,0.0
A King Of Magic (FR),5,0.2
A Kiss Goodnight (USA),1,0.0
A Knights Tale (GB),0,0.0
A LAbordAz (FR),4,0.25
A LAnglaise (GB),6,0.1666666666666666
A LAnneau (FR),0,0.0
A LAsseau (FR),4,0.0
A LAttaque (IRE),3,0.0
A LHeure (GB),0,0.0
A La Carte (IRE),8,0.0
A La Champ (AUS),2,0.0
A La Dure (GB),3,0.0
A La Francaise (FR),0,0.0
A La Francaise (GB),18,0.0555555555555555
A La King (AUS),13,0.2307692307692307
A La Louche (GB),5,0.0
A La Luna (FR),0,0.0
A La Noche (IRE),2,0.0
A La Omega (USA),1,0.0
A La Prochaine (FR),15,0.1333333333333333
A La Vista (ARG),0,0.0
A La Voile (GB),6,0.1666666666666666
A Ladies Milan (IRE),13,0.0
A Lady Called Sue (IRE),0,0.0
A Lady Forever (GB),19,0.0526315789473684
A Large One Please (FR),6,0.1666666666666666
A Lasting Joy (GB),2,0.0
A Law Of Her Own (IRE),30,0.1
A Law To Himself (IRE),3,0.0
A Legacy (GB),4,0.0
A Legacy Of Love (IRE),2,0.0
A Legal Beauty (IRE),3,0.0
A Likeable Rogue (IRE),2,0.5
A Likely Story (IRE),56,0.0357142857142857
A Lilac Rolla (IRE),6,0.5
A Little Attitude (USA),0,0.0
A Little Bit Dusty (GB),22,0.0909090909090909
A Little Bit Me (USA),11,0.1818181818181818
A Little Bit Sassy (USA),3,0.0
A Little Chaos (IRE),15,0.1333333333333333
A Little Deep (AUS),5,0.0
A Little Early (IRE),0,0.0
A Little Faith (GB),0,0.0
A Little Frisky (CAN),2,0.0
A Little Help (GB),1,0.0
A Little Magic (IRE),14,0.3571428571428571
A Little Respect (IRE),5,0.0
A Little Something (GB),12,0.0
A Load Of Talk (IRE),0,0.0
A Long Day (IRE),2,0.0
A Long Road Ahead (GER),1,0.0
A Looker (USA),0,0.0
A Lot (USA),6,0.0
A Lot More Love (AUS),0,0.0
A Lot Of Good Men (AUS),3,0.3333333333333333
A Lott Of Kane (IRE),7,0.0
A Lotta Love (AUS),7,0.0
A Lougie (FR),9,0.0
A Lovable Rogue (GB),9,0.1111111111111111
A M Milky Way (USA),0,0.0
A Ma Chere (IRE),7,0.1428571428571428
A Ma Shay (AUS),0,0.0
A Magic Man (IRE),4,0.0
A Maize Zing Rip (USA),0,0.0
A Major Payne (GB),16,0.0
A Man To Match (AUS),3,0.0
A Mans Horse (IRE),2,0.0
